traffic_volume_type,traffic_light,time_of_day,direction,weather,total_vehicles,car,person,truck,bicycle,bus,motorcycle,date,time
light,Green,night,North,Rainy,9,9,0,0,0,0,0,13-10-2024,20:40
moderate,Yellow,evening,East,Rainy,12,11,1,0,0,0,0,1/10/2024,7:20
light,Green,morning,North,Snowy,9,8,0,1,0,0,0,19-10-2024,8:00
light,Green,night,West,Rainy,5,5,0,0,0,0,0,19-10-2024,11:55
moderate,Red,evening,West,Clear,13,11,1,0,0,1,0,6/10/2024,13:05
heavy,Red,night,East,Snowy,21,12,6,0,0,3,0,2/10/2024,9:20
moderate,Yellow,morning,West,Foggy,11,11,0,0,0,0,0,11/10/2024,20:30
heavy,Red,morning,South,Foggy,21,14,5,0,0,2,0,2/10/2024,10:15
heavy,Red,afternoon,West,Foggy,26,18,4,1,0,3,0,1/10/2024,6:45
light,Green,afternoon,North,Rainy,5,5,0,0,0,0,0,15-10-2024,2:05
moderate,Yellow,afternoon,West,Foggy,15,14,0,1,0,0,0,9/10/2024,4:50
heavy,Red,afternoon,West,Clear,20,11,8,0,0,1,0,1/10/2024,1:15
heavy,Red,night,South,Snowy,20,12,6,0,0,2,0,1/10/2024,0:40
moderate,Red,evening,West,Snowy,15,12,2,0,0,1,0,2/10/2024,8:30
light,Green,afternoon,East,Clear,5,3,0,0,0,2,0,6/10/2024,20:00
moderate,Yellow,morning,South,Snowy,17,17,0,0,0,0,0,8/10/2024,13:05
moderate,Yellow,morning,East,Foggy,15,11,0,0,0,0,0,3/10/2024,11:40
moderate,Yellow,morning,South,Rainy,11,10,0,0,0,0,1,18-10-2024,4:10
light,Green,night,North,Snowy,5,4,0,0,0,1,0,17-10-2024,8:35
moderate,Red,night,West,Snowy,12,9,0,3,0,0,0,16-10-2024,12:35
moderate,Yellow,night,North,Foggy,18,12,1,0,1,4,0,30-09-2024,5:40
light,Red,evening,West,Snowy,8,6,1,0,0,0,0,3/10/2024,14:30
heavy,Red,afternoon,South,Clear,21,19,1,0,0,1,0,13-10-2024,11:00
moderate,Yellow,night,North,Rainy,18,14,3,1,0,0,0,30-09-2024,1:50
heavy,Red,night,East,Snowy,21,15,4,0,0,2,0,30-09-2024,3:55
moderate,Red,afternoon,South,Clear,11,10,0,0,0,1,0,6/10/2024,12:50
heavy,Red,night,East,Snowy,21,12,6,0,0,3,0,2/10/2024,9:20
light,Green,afternoon,West,Snowy,2,2,0,0,0,0,0,15-10-2024,19:40
heavy,Red,evening,East,Foggy,23,21,1,0,0,1,0,13-10-2024,10:10
moderate,Red,night,North,Rainy,12,10,2,0,0,0,0,30-09-2024,21:00
light,Green,evening,East,Foggy,5,3,1,0,0,1,0,17-10-2024,15:45
light,Green,morning,North,Snowy,7,7,0,0,0,0,0,10/10/2024,14:20
moderate,Red,night,West,Rainy,13,11,2,0,0,0,0,30-09-2024,20:50
light,Green,night,South,Clear,5,4,1,0,0,0,0,15-10-2024,6:30
light,Green,night,North,Clear,8,7,0,0,0,1,0,5/10/2024,17:45
heavy,Red,evening,East,Snowy,21,11,4,0,0,5,0,2/10/2024,3:25
moderate,Yellow,afternoon,East,Foggy,14,10,0,0,0,4,0,30-09-2024,5:25
heavy,Red,morning,South,Foggy,21,14,5,0,0,2,0,2/10/2024,10:15
light,Green,morning,South,Clear,8,8,0,0,0,0,0,19-10-2024,6:55
light,Green,evening,West,Snowy,9,9,0,0,0,0,0,5/10/2024,9:30
moderate,Yellow,afternoon,West,Rainy,16,13,2,1,0,0,0,6/10/2024,7:20
heavy,Red,afternoon,North,Clear,20,12,7,0,0,1,0,2/10/2024,9:50
moderate,Yellow,evening,North,Rainy,10,10,0,0,0,0,0,16-10-2024,11:20
moderate,Yellow,night,East,Snowy,15,12,1,1,0,1,0,30-09-2024,15:10
moderate,Yellow,night,North,Foggy,11,11,0,0,0,0,0,12/10/2024,23:20
moderate,Red,evening,South,Foggy,14,10,3,0,0,1,0,2/10/2024,8:45
moderate,Yellow,evening,East,Foggy,13,13,0,0,0,0,0,11/10/2024,23:55
moderate,Yellow,morning,South,Rainy,13,12,0,1,0,0,0,5/10/2024,9:40
moderate,Yellow,afternoon,North,Snowy,11,7,2,0,0,2,0,4/10/2024,11:30
moderate,Red,night,South,Clear,15,12,1,0,1,1,0,30-09-2024,7:50
moderate,Red,afternoon,East,Snowy,14,11,2,1,0,0,0,2/10/2024,0:15
light,Green,evening,North,Clear,7,5,0,0,0,2,0,17-10-2024,1:55
light,Green,morning,South,Foggy,8,8,0,0,0,0,0,16-10-2024,22:40
heavy,Red,afternoon,West,Clear,20,16,3,0,0,1,0,2/10/2024,7:05
light,Green,evening,East,Clear,1,0,0,0,0,1,0,4/10/2024,2:05
light,Green,evening,North,Clear,9,8,0,1,0,0,0,10/10/2024,14:30
light,Green,night,West,Clear,4,4,0,0,0,0,0,4/10/2024,14:25
moderate,Yellow,afternoon,South,Foggy,12,10,0,1,0,0,0,17-10-2024,19:15
light,Green,afternoon,East,Foggy,3,3,0,0,0,0,0,15-10-2024,7:10
heavy,Red,night,South,Snowy,20,14,1,2,0,3,0,5/10/2024,1:30
moderate,Yellow,evening,East,Rainy,16,14,0,0,0,0,0,3/10/2024,10:55
light,Green,night,South,Clear,6,6,0,0,0,0,0,19-10-2024,11:40
heavy,Red,evening,North,Clear,20,17,1,2,0,0,0,5/10/2024,12:10
light,Green,evening,East,Clear,7,5,1,0,1,0,0,12/10/2024,5:35
moderate,Red,evening,North,Foggy,12,10,2,0,0,0,0,30-09-2024,22:00
moderate,Yellow,morning,East,Clear,14,14,0,0,0,0,0,8/10/2024,2:50
heavy,Red,morning,North,Foggy,20,14,5,0,0,1,0,1/10/2024,2:10
heavy,Red,night,North,Snowy,21,20,0,0,0,1,0,13-10-2024,11:30
moderate,Red,afternoon,North,Foggy,17,11,3,0,0,3,0,2/10/2024,4:55
moderate,Yellow,morning,North,Rainy,15,14,0,1,0,0,0,8/10/2024,15:30
moderate,Red,morning,West,Clear,17,11,4,2,0,0,0,2/10/2024,1:05
moderate,Yellow,morning,East,Snowy,10,6,0,0,0,0,0,3/10/2024,16:45
heavy,Red,evening,North,Rainy,20,16,4,0,0,0,0,30-09-2024,13:20
moderate,Yellow,morning,South,Clear,14,12,2,0,0,0,0,30-09-2024,12:10
light,Green,night,South,Clear,7,6,1,0,0,0,0,4/10/2024,0:45
heavy,Red,night,South,Snowy,23,15,6,0,0,2,0,2/10/2024,6:00
light,Green,morning,West,Snowy,6,5,0,1,0,0,0,14-10-2024,12:55
moderate,Yellow,evening,North,Clear,13,10,2,0,0,1,0,17-10-2024,6:55
light,Green,morning,West,Snowy,9,7,0,0,0,2,0,5/10/2024,20:25
light,Green,night,West,Clear,6,6,0,0,0,0,0,18-10-2024,1:00
heavy,Red,evening,South,Rainy,21,14,6,0,0,1,0,1/10/2024,7:30
light,Red,night,West,Snowy,9,8,0,1,0,0,0,19-10-2024,21:10
moderate,Yellow,night,West,Foggy,14,12,2,0,0,0,0,30-09-2024,20:05
light,Green,morning,West,Clear,5,2,2,1,0,0,0,12/10/2024,12:20
heavy,Red,evening,North,Clear,20,17,1,2,0,0,0,5/10/2024,12:10
light,Green,night,East,Foggy,6,6,0,0,0,0,0,18-10-2024,0:05
light,Green,night,South,Snowy,6,5,0,0,0,1,0,16-10-2024,14:35
heavy,Red,morning,South,Snowy,23,14,8,0,0,1,0,1/10/2024,2:05
light,Green,evening,West,Snowy,4,3,0,1,0,0,0,10/10/2024,20:10
light,Green,morning,South,Clear,6,6,0,0,0,0,0,9/10/2024,23:20
moderate,Yellow,evening,North,Foggy,11,9,0,2,0,0,0,19-10-2024,4:00
moderate,Yellow,evening,East,Rainy,12,11,0,1,0,0,0,9/10/2024,11:20
moderate,Yellow,morning,East,Clear,15,9,3,0,0,3,0,2/10/2024,3:05
moderate,Yellow,morning,North,Foggy,16,10,5,0,0,1,0,1/10/2024,7:45
moderate,Yellow,evening,North,Rainy,13,12,0,1,0,0,0,8/10/2024,2:00
moderate,Red,afternoon,South,Rainy,15,10,4,0,0,1,0,30-09-2024,16:15
light,Red,morning,North,Clear,8,6,2,0,0,0,0,7/10/2024,7:20
light,Green,night,North,Clear,7,7,0,0,0,0,0,19-10-2024,13:10
heavy,Red,morning,East,Clear,20,16,3,1,0,0,0,30-09-2024,0:00
heavy,Red,evening,North,Rainy,20,16,4,0,0,0,0,30-09-2024,13:20
light,Green,evening,North,Foggy,9,9,0,0,0,0,0,14-10-2024,11:40
moderate,Yellow,afternoon,East,Foggy,15,14,0,0,0,1,0,7/10/2024,23:25
moderate,Yellow,night,South,Foggy,16,14,0,1,0,0,0,5/10/2024,10:15
light,Green,afternoon,West,Clear,5,3,1,0,0,1,0,4/10/2024,12:35
heavy,Red,night,South,Snowy,23,15,6,0,0,2,0,2/10/2024,6:00
moderate,Red,morning,North,Rainy,16,10,3,0,0,3,0,2/10/2024,4:45
heavy,Red,morning,North,Foggy,20,14,5,0,0,1,0,1/10/2024,2:10
heavy,Red,morning,North,Foggy,20,14,5,0,0,1,0,1/10/2024,2:10
light,Green,night,West,Snowy,4,4,0,0,0,0,0,14-10-2024,1:45
moderate,Yellow,morning,West,Snowy,17,14,0,3,0,0,0,9/10/2024,9:40
light,Green,night,West,Snowy,7,5,2,0,0,0,0,7/10/2024,10:15
moderate,Red,night,South,Clear,11,8,2,1,0,0,0,6/10/2024,4:20
moderate,Yellow,morning,South,Snowy,17,15,0,2,0,0,0,5/10/2024,14:05
light,Red,afternoon,East,Foggy,5,4,1,0,0,0,0,7/10/2024,7:00
moderate,Red,afternoon,East,Snowy,14,11,2,1,0,0,0,2/10/2024,0:15
moderate,Yellow,evening,East,Snowy,12,8,0,0,0,4,0,12/10/2024,21:25
heavy,Red,afternoon,North,Snowy,23,16,4,0,0,2,0,1/10/2024,0:50
light,Green,night,East,Snowy,6,4,0,0,0,2,0,6/10/2024,20:05
moderate,Red,night,West,Snowy,16,12,3,1,0,0,0,2/10/2024,1:10
light,Green,afternoon,South,Rainy,5,4,0,0,0,1,0,3/10/2024,22:15
moderate,Yellow,morning,North,Foggy,10,10,0,0,0,0,0,13-10-2024,1:50
moderate,Yellow,evening,South,Clear,16,15,0,1,0,0,0,13-10-2024,12:35
moderate,Red,night,West,Clear,19,16,3,0,0,0,0,30-09-2024,21:20
moderate,Yellow,afternoon,North,Snowy,14,12,0,2,0,0,0,8/10/2024,0:00
light,Green,afternoon,West,Clear,5,3,1,0,0,1,0,4/10/2024,12:35
light,Green,morning,North,Rainy,9,9,0,0,0,0,0,13-10-2024,20:25
moderate,Yellow,evening,West,Rainy,11,10,0,1,0,0,0,12/10/2024,1:25
light,Green,morning,East,Foggy,5,5,0,0,0,0,0,16-10-2024,15:45
light,Green,night,East,Snowy,8,8,0,0,0,0,0,18-10-2024,15:25
light,Green,afternoon,West,Snowy,5,4,0,1,0,0,0,15-10-2024,20:55
light,Green,evening,East,Clear,5,3,0,1,0,1,0,9/10/2024,16:25
light,Green,morning,West,Foggy,6,4,1,0,0,0,0,15-10-2024,22:45
moderate,Yellow,evening,South,Snowy,13,10,3,0,0,0,0,30-09-2024,22:15
heavy,Red,afternoon,North,Snowy,23,16,4,0,0,2,0,1/10/2024,0:50
moderate,Yellow,afternoon,South,Rainy,11,8,0,2,0,1,0,18-10-2024,19:55
moderate,Yellow,afternoon,West,Clear,10,8,1,0,0,1,0,17-10-2024,6:30
light,Green,morning,West,Snowy,7,6,0,0,1,0,0,7/10/2024,4:25
moderate,Red,afternoon,South,Rainy,14,9,1,0,0,4,0,2/10/2024,4:50
heavy,Red,afternoon,West,Clear,20,16,3,0,0,1,0,2/10/2024,7:05
light,Red,afternoon,West,Foggy,7,6,0,0,0,1,0,19-10-2024,21:25
moderate,Yellow,night,South,Snowy,12,8,2,0,0,2,0,1/10/2024,17:40
light,Green,morning,South,Clear,9,4,4,0,0,0,0,2/10/2024,18:40
heavy,Red,morning,West,Snowy,22,13,4,0,1,4,0,30-09-2024,4:00
moderate,Yellow,evening,South,Snowy,14,12,0,1,0,1,0,11/10/2024,10:00
moderate,Red,evening,North,Snowy,12,7,2,0,0,3,0,2/10/2024,4:40
heavy,Red,night,South,Snowy,20,12,6,0,0,2,0,1/10/2024,0:40
light,Red,night,West,Foggy,8,7,0,0,0,1,0,19-10-2024,21:15
light,Green,morning,South,Rainy,7,6,0,1,0,0,0,14-10-2024,13:15
moderate,Yellow,afternoon,North,Clear,13,12,0,0,0,1,0,13-10-2024,18:20
heavy,Red,morning,South,Snowy,23,14,8,0,0,1,0,1/10/2024,2:05
moderate,Yellow,morning,East,Clear,10,9,0,1,0,0,0,16-10-2024,19:15
light,Green,evening,East,Rainy,8,6,1,1,0,0,0,2/10/2024,12:55
moderate,Yellow,night,West,Rainy,14,11,3,0,0,0,0,30-09-2024,12:35
moderate,Red,night,West,Foggy,14,11,3,0,0,0,0,2/10/2024,0:00
heavy,Red,afternoon,West,Clear,20,16,3,0,0,1,0,2/10/2024,7:05
heavy,Red,morning,South,Foggy,21,14,5,0,0,2,0,2/10/2024,10:15
light,Green,afternoon,West,Foggy,4,3,0,1,0,0,0,18-10-2024,11:15
moderate,Yellow,morning,East,Rainy,16,11,2,1,0,1,0,6/10/2024,7:45
light,Green,night,North,Clear,7,7,0,0,0,0,0,18-10-2024,14:00
moderate,Yellow,afternoon,West,Rainy,13,9,1,0,0,3,0,17-10-2024,7:40
moderate,Yellow,evening,East,Foggy,14,13,0,1,0,0,0,13-10-2024,18:55
light,Green,morning,South,Rainy,3,1,0,1,0,1,0,2/10/2024,14:20
light,Green,morning,East,Foggy,9,6,0,0,0,3,0,3/10/2024,3:55
moderate,Red,evening,East,Clear,14,11,1,0,1,1,0,30-09-2024,8:00
light,Green,evening,East,Rainy,6,6,0,0,0,0,0,18-10-2024,10:45
moderate,Yellow,evening,South,Foggy,10,9,0,1,0,0,0,19-10-2024,0:25
light,Green,night,South,Rainy,6,6,0,0,0,0,0,18-10-2024,14:10
moderate,Yellow,morning,West,Snowy,12,12,0,0,0,0,0,8/10/2024,20:30
heavy,Red,evening,North,Snowy,21,13,5,0,1,2,0,1/10/2024,20:10
light,Green,evening,East,Rainy,8,8,0,0,0,0,0,18-10-2024,23:25
moderate,Red,afternoon,North,Snowy,13,11,2,0,0,0,0,6/10/2024,4:45
moderate,Yellow,afternoon,East,Snowy,11,11,0,0,0,0,0,16-10-2024,11:05
heavy,Red,evening,North,Rainy,20,16,4,0,0,0,0,30-09-2024,13:20
moderate,Yellow,morning,West,Snowy,16,11,4,0,0,1,0,1/10/2024,3:35
light,Green,night,South,Foggy,6,6,0,0,0,0,0,10/10/2024,7:00
moderate,Yellow,night,South,Rainy,12,10,1,0,0,1,0,17-10-2024,6:35
moderate,Red,night,North,Snowy,15,12,2,0,0,1,0,30-09-2024,8:05
heavy,Red,night,South,Clear,20,13,6,0,0,1,0,1/10/2024,1:40
moderate,Yellow,night,North,Foggy,14,11,3,0,0,0,0,30-09-2024,20:10
light,Green,afternoon,South,Foggy,5,5,0,0,0,0,0,13-10-2024,9:05
light,Green,morning,South,Snowy,3,2,0,1,0,0,0,14-10-2024,7:20
heavy,Red,night,North,Foggy,20,13,4,0,0,3,0,1/10/2024,9:10
light,Green,morning,South,Foggy,9,7,0,0,0,0,0,3/10/2024,12:05
moderate,Yellow,afternoon,West,Foggy,13,12,0,1,0,0,0,5/10/2024,3:40
moderate,Red,evening,South,Foggy,13,10,2,0,0,1,0,30-09-2024,16:35
light,Green,afternoon,West,Clear,3,2,1,0,0,0,0,15-10-2024,4:30
moderate,Yellow,afternoon,West,Clear,16,16,0,0,0,0,0,11/10/2024,10:20
moderate,Yellow,afternoon,West,Rainy,14,12,0,2,0,0,0,8/10/2024,16:10
moderate,Yellow,morning,North,Clear,11,9,0,1,0,1,0,12/10/2024,7:10
heavy,Red,night,South,Snowy,20,14,1,2,0,3,0,5/10/2024,1:30
heavy,Red,afternoon,West,Rainy,20,18,1,0,0,1,0,13-10-2024,10:45
moderate,Yellow,evening,North,Foggy,15,14,0,1,0,0,0,8/10/2024,12:30
moderate,Yellow,evening,North,Snowy,14,13,0,1,0,0,0,5/10/2024,4:00
moderate,Red,evening,East,Rainy,13,10,2,0,0,1,0,30-09-2024,16:10
moderate,Yellow,night,South,Snowy,12,12,0,0,0,0,0,9/10/2024,12:15
light,Green,night,East,Clear,5,3,2,0,0,0,0,4/10/2024,15:15
heavy,Red,night,West,Foggy,20,13,5,0,0,2,0,2/10/2024,10:30
moderate,Yellow,night,West,Rainy,13,10,1,0,0,2,0,4/10/2024,21:30
moderate,Yellow,afternoon,North,Foggy,10,9,1,0,0,0,0,19-10-2024,19:30
moderate,Yellow,morning,West,Rainy,13,12,0,1,0,0,0,8/10/2024,11:30
moderate,Yellow,evening,East,Foggy,12,9,2,0,0,1,0,6/10/2024,8:10
heavy,Red,night,West,Foggy,20,13,5,0,0,2,0,2/10/2024,10:30
heavy,Red,night,North,Snowy,21,20,0,0,0,1,0,13-10-2024,11:30
light,Green,evening,East,Rainy,5,5,0,0,0,0,0,14-10-2024,17:55
heavy,Red,evening,East,Snowy,21,11,4,0,0,5,0,2/10/2024,3:25
light,Green,night,South,Snowy,6,4,0,0,0,1,0,12/10/2024,15:40
light,Green,afternoon,East,Clear,4,1,0,0,0,3,0,3/10/2024,7:50
light,Green,morning,North,Snowy,7,4,1,0,0,0,1,12/10/2024,14:25
heavy,Red,afternoon,West,Clear,20,11,8,0,0,1,0,1/10/2024,1:15
moderate,Yellow,afternoon,East,Foggy,10,10,0,0,0,0,0,13-10-2024,7:30
heavy,Red,evening,South,Snowy,21,16,3,2,0,0,0,30-09-2024,3:20
heavy,Red,afternoon,West,Clear,20,11,8,0,0,1,0,1/10/2024,1:15
moderate,Yellow,afternoon,East,Clear,11,9,0,1,0,1,0,5/10/2024,17:35
moderate,Yellow,afternoon,South,Foggy,10,9,0,0,0,1,0,19-10-2024,3:15
light,Green,morning,East,Foggy,7,6,1,0,0,0,0,2/10/2024,20:25
heavy,Red,night,South,Foggy,20,18,0,1,0,1,0,13-10-2024,9:55
heavy,Red,morning,South,Snowy,23,14,8,0,0,1,0,1/10/2024,2:05
moderate,Yellow,morning,North,Foggy,11,8,1,0,0,2,0,4/10/2024,10:55
light,Green,evening,South,Rainy,8,5,2,1,0,0,0,7/10/2024,8:20
moderate,Yellow,night,East,Snowy,10,10,0,0,0,0,0,5/10/2024,1:05
moderate,Yellow,afternoon,West,Rainy,13,12,0,0,0,1,0,11/10/2024,21:45
moderate,Red,morning,South,Snowy,16,12,3,0,0,1,0,30-09-2024,16:30
heavy,Red,evening,West,Clear,20,15,0,4,0,1,0,9/10/2024,11:40
heavy,Red,morning,West,Snowy,20,14,4,1,0,1,0,1/10/2024,9:25
moderate,Yellow,afternoon,West,Snowy,10,10,0,0,0,0,0,3/10/2024,10:35
light,Green,night,East,Foggy,9,6,2,1,0,0,0,2/10/2024,22:45
heavy,Red,evening,South,Rainy,21,14,6,0,0,1,0,1/10/2024,7:30
moderate,Yellow,evening,North,Foggy,11,9,0,2,0,0,0,19-10-2024,4:00
moderate,Yellow,night,South,Clear,16,16,0,0,0,0,0,8/10/2024,2:40
light,Green,morning,East,Snowy,5,4,0,0,0,0,0,15-10-2024,21:15
light,Green,afternoon,West,Foggy,2,2,0,0,0,0,0,16-10-2024,23:15
moderate,Yellow,evening,South,Snowy,16,12,3,1,0,0,0,1/10/2024,14:20
heavy,Red,morning,South,Clear,21,18,2,0,0,1,0,13-10-2024,10:30
heavy,Red,morning,South,Foggy,21,14,5,0,0,2,0,2/10/2024,10:15
heavy,Red,afternoon,West,Snowy,20,11,7,0,0,2,0,2/10/2024,6:20
heavy,Red,night,East,Snowy,21,12,6,0,0,3,0,2/10/2024,9:20
moderate,Red,night,East,Snowy,11,8,2,0,0,1,0,30-09-2024,21:45
moderate,Yellow,morning,East,Clear,19,14,3,1,0,1,0,1/10/2024,11:35
heavy,Red,afternoon,East,Rainy,21,19,0,1,0,1,0,13-10-2024,10:00
moderate,Yellow,night,South,Snowy,12,9,0,0,0,1,1,3/10/2024,19:25
heavy,Red,night,South,Clear,20,13,6,0,0,1,0,1/10/2024,1:40
light,Green,evening,East,Rainy,4,4,0,0,0,0,0,9/10/2024,20:05
moderate,Yellow,night,North,Clear,16,12,1,0,0,3,0,6/10/2024,10:55
heavy,Red,morning,East,Foggy,21,18,1,1,0,1,0,13-10-2024,11:10
moderate,Yellow,evening,East,Rainy,16,14,1,0,0,1,0,6/10/2024,12:20
moderate,Yellow,evening,South,Foggy,14,10,4,0,0,0,0,30-09-2024,22:20
moderate,Yellow,night,South,Rainy,12,10,0,1,0,1,0,4/10/2024,23:30
light,Green,afternoon,East,Rainy,8,7,0,1,0,0,0,19-10-2024,8:35
moderate,Yellow,afternoon,South,Snowy,10,10,0,0,0,0,0,13-10-2024,8:25
moderate,Yellow,night,East,Rainy,13,11,0,0,0,0,0,3/10/2024,11:45
moderate,Yellow,afternoon,South,Snowy,14,14,0,0,0,0,0,8/10/2024,4:15
heavy,Red,morning,South,Clear,21,18,2,0,0,1,0,13-10-2024,10:30
light,Green,night,North,Snowy,9,9,0,0,0,0,0,18-10-2024,17:30
light,Green,morning,East,Snowy,5,5,0,0,0,0,0,14-10-2024,19:20
moderate,Yellow,evening,North,Foggy,12,10,0,1,0,1,0,12/10/2024,3:15
moderate,Yellow,night,North,Snowy,11,5,3,0,1,0,0,3/10/2024,15:45
heavy,Red,morning,South,Rainy,20,12,5,0,0,3,0,2/10/2024,5:35
heavy,Red,evening,South,Rainy,21,14,6,0,0,1,0,1/10/2024,7:30
heavy,Red,morning,East,Foggy,21,18,1,1,0,1,0,13-10-2024,11:10
light,Green,evening,South,Snowy,4,3,0,0,0,1,0,17-10-2024,11:30
